edd_ratio,bh_mass_lg_mass,a,b,c,d
0.01691688026640204,8.25869988279157,-23.62276461593506,0.0003752504876825137,-2.7510556224675375,25.984480558724876
0.013765932269404348,8.519336758644755,-34.30362124508772,0.00037432779835437044,-0.11012118110112376,16.391495645664754
0.02635147943362146,7.437446766169462,-30.268193890952347,0.0003745298937477985,-0.08420038103525258,14.465375556069993
0.08065432018067982,7.870538734387961,-18.388847505644698,0.0003755392102251727,-6.577316344845082,30.4536538070617
0.01714393074299637,7.924819986895708,-32.23224476041676,0.0003746186669456334,-0.08962284594476363,15.404446184442307
0.014898582711878022,7.132600332723901,-21.490204590948586,0.0003749581606524616,2.6822145588887563,23.536078307371486
0.02030117908775481,7.8718735620976386,-32.69862407888995,0.0003749354675046299,-0.061139760564894625,15.677643180429323
0.010185853053345822,8.71210387904037,-34.60729049922488,0.00037466352860266274,-0.11138921526744913,16.536592960777828
0.02165979237967875,8.97689022300764,-35.01423715322554,0.0003745917066874271,-0.0973656523832293,16.73424858313475
0.025242859841027757,8.83782810616879,-35.28972906214824,0.0003741284827280988,-0.1136971511326711,16.862862194868462
0.0288301023199514,7.256577243869325,-20.64815397645149,0.0003748217344872396,2.4574313340421403,23.18217442644749
0.06946267637331341,7.480318513515706,-31.455783934908133,0.00037408629641907395,-0.10115254050638027,15.030510653390403
0.010732937595922693,7.549424612734596,-21.830604942815004,0.0003750058655141783,2.598142013287905,24.509726038053834
0.015954851006079268,7.805707193186111,-32.21122050704898,0.0003742679997790138,-0.08962903298476159,15.39387875218953
0.05503334366889114,7.2546501375571575,-21.923980938510788,0.00037530815705743886,2.7363270930516963,24.011170902569695
0.352797067129074,8.297800833595922,-24.292943344888076,0.00037500307656083466,2.891536974819134,27.27413656619211
0.04408634966348589,8.164781233857013,-23.268225815148707,0.0003755232544824164,2.9042022871773296,25.483324673932387
0.017718778837453025,8.718208414018545,-24.209882290650917,0.0003751913255467191,3.0217639190542385,26.514613357073937
0.024162389827913796,8.643431153796595,-22.849426146302733,0.0003757947992659279,7.601663391496482,27.644963095809757
0.13147945317876708,7.131106050277943,-22.24190393093144,0.00037510065316015195,3.0250446714942303,24.86597999026173
0.010784741622995959,7.86322598784596,-22.3058211849433,0.0003753592737950976,2.654896478358079,25.04310324200334
0.016482118111656556,7.855268217989032,-22.568142651846465,0.00037487412972770913,2.6864945349498237,25.337413090466704
0.016384307823689916,7.340273734038049,-31.354002173693345,0.0003744501430381427,-0.08719674281571577,14.984555390747552
0.010073796469871011,8.111279992282608,-32.81189758127381,0.0003750780451672453,-0.06112640634602434,15.731592424891012
0.013824760655751939,8.75797836369029,-23.68755434242955,0.00037519873958425124,3.221684788797018,26.48225344696391
0.032192610061669756,7.430549029477127,-22.14069617610161,0.0003749761971554098,2.635008066037697,24.857806963889878
0.020990153922975676,8.538842953806485,-34.33951393072209,0.0003748529763061143,-0.0641469616692211,16.46436933545261
0.023590401133952547,8.096059557815536,-33.37771014173717,0.0003744922425310608,-0.09283647209189594,15.951717456592306
0.06534293414915875,7.84163162388742,-33.589118663059395,0.0003747512139979557,-0.09287618903976445,16.058676939795337
0.011358154563852649,8.416882511760289,-23.386698702368363,0.0003752553195922794,2.919026328633686,25.613024450676107
0.12065693073956527,8.222423515992016,-23.245009787429062,0.00037503644133436416,2.7671389057065348,26.097126585661535
0.019595210909189902,8.596033366101445,-34.534249984457716,0.0003747600357634122,-0.0645053423776501,16.55773360845714
0.027134381672068317,7.22948609225195,-31.705581307188773,0.00037466948132015404,-0.08823635565798768,15.152148937614754
0.01556183696365292,7.523082923480642,-30.558449425363527,0.0003746148695487666,-0.05711133403706735,14.651394448241888
0.032495659897234894,7.622252069238563,-30.974779743699678,0.00037410562126447607,-4.147120550145996,17.20697618860634
0.015271302341595887,7.751356703928645,-31.923545924346985,0.000374472547660095,-0.08876290441325313,15.256816477854809
0.018748887567733224,8.731095901542202,-34.6876217942915,0.00037475530772627843,-0.06467480353009288,16.631156298016894
0.019289232957514224,8.063829745293958,-24.217955065584995,0.0003757010590908816,0.6641919659339616,24.480983964842267
0.02751594983277217,8.349054163076154,-33.90831064487841,0.0003745158053958379,-0.10907228951765653,16.202883931066495
0.0246151150231552,8.270165737123213,-23.170346354343685,0.00037485401637647633,2.758385090309208,26.01350056327499
0.04859491003947274,8.732745691149049,-24.224509379023246,0.00037515917669780007,2.883296741029548,27.197354311847686
0.029211415332535146,8.262923564458536,-34.05047209355598,0.0003748485912060991,-0.09469512116907335,16.273327806651544
0.010127985856105767,8.642419341259563,-34.400222818352795,0.0003747153793002942,-0.09564694817261513,16.44084726436678
0.011402365412647454,7.39767690750492,-21.94594971841881,0.0003754752985129172,2.739014787851036,24.035401833537875
0.019107316961793058,7.315810821445999,-21.616211210213066,0.00037521123072485824,2.41401732682057,24.4346061200446
0.014562857911423463,8.483886442567291,-34.27824506949102,0.0003751158698985191,-0.09531516900299145,16.382270624382535
0.02817247822961544,7.760250040752599,-32.880480566441065,0.0003747150227909492,-0.09139752774390375,15.714130924258864
0.04332972962734118,8.478037912205629,-34.69801766581051,0.00037443925204336595,-0.11135917320320607,16.580052906386847
0.03759562770916459,7.658979689053105,-31.254138424201003,0.00037454187858148625,-0.08631780387954964,14.941873536420706
0.01452388710537296,7.9402441883901895,-24.881063926633136,0.0003759508751561328,-0.44879757751066257,21.994900025219295
0.01625881593160501,8.969216966041959,-35.33604776070838,0.0003748889873875309,-0.06599500383860818,16.94213067366913
0.025610987752860682,7.3093806690058525,-27.686714506556612,0.00037383566441190265,-2.5011440515478816,19.159207158730545
0.010094078715349569,8.193465105982462,-33.29062853091064,0.0003749685731346752,-0.0920250576335856,15.915868187170265
0.012180682135078964,7.1337239507738195,-21.3731720429967,0.00037507423425142304,2.5436829014294595,23.99617083087731
0.010765384868592706,7.821685171708369,-32.65780579659053,0.00037430532200792544,-0.10514283452346077,15.605126037539012
0.013486290971455355,7.328731521844084,-28.002265316581315,0.0003746312565262155,-0.07791972056816435,13.382173250992254
0.01130898352459721,7.023725571845397,-21.14371768153903,0.00037510374914464714,2.5163744023818984,23.73854892226111
0.02783778080945052,8.651345845572878,-27.34269953723748,0.00037566559063172394,9.575151994421379,23.80625251557847
0.015417592035995306,7.383414793334752,-22.07415997102408,0.0003751543777163469,2.755132360591743,24.175596475733848
