id,bh_mass_lg_mass,AGN_0_edd_ratio,flux_perfect,mu avg.,mu sd,var avg.,var sd.
75,8.305174681,0.03957311,441688.9559,0.99678278,0.097129151,1.002066016,0.00113316
76,8.608783656,0.013938378,39312.17793,0.99439013,0.063726656,1.001053929,0.000257684
77,8.065444552,0.047597168,2061.10829,0.995256305,0.051260959,1.002198815,0.00050194
78,8.265835259,0.010859042,64199.4853,0.996831417,0.061041947,1.002978206,0.000711976
79,7.576311228,0.039503621,49944.62568,0.996779799,0.066018537,1.003456116,0.000721345
80,8.469786325,0.076914171,681263.6623,0.996616542,0.025953874,1.000532508,1.75E-05
81,7.404809186,0.036037298,13909.09819,0.994651437,0.073299222,1.004493594,0.000807445
82,8.389596258,0.02965386,468271.0531,0.995489717,0.03420645,1.000544071,1.93E-05
83,8.721438137,0.045340433,1096638.05,0.995674014,0.048468813,1.000685334,0.000102867
84,7.264205675,0.010598392,7988.504389,0.990842819,0.158200696,1.005699158,0.001776717
85,8.228759481,0.013257192,175163.0033,0.995077729,0.074646495,1.002895355,0.000864873
86,7.190191496,0.011934403,4777.999178,0.991864145,0.122460589,1.005349994,0.001552935
87,8.451431257,0.020497371,496605.0883,0.996551871,0.036639418,1.002218843,0.000329206
88,7.168986438,0.033378679,14032.07189,0.994740546,0.058369316,1.004245162,0.000603076
89,8.871879645,0.0256174,568883.3885,1,1.63E-07,1.000345469,1.19E-07
90,7.27481586,0.047961287,433.7029022,0.992196381,0.082542464,1.004118562,0.000962094
91,8.917760492,0.012441095,913788.5043,0.996913612,0.059147757,1.000780344,0.000142291
92,8.601768352,0.032452928,295881.7249,0.996556938,0.011336133,1.000638723,3.90E-05
93,8.187364009,0.013100281,2469.106907,0.995463073,0.117319509,1.002863765,0.001922649
94,8.565248209,0.014566032,542844.6229,0.994915307,0.041337226,1.000555515,4.57E-05
95,8.590229678,0.030497247,795911.8277,0.995318592,0.043371234,1.00069952,0.000104711
96,8.892054126,0.173662666,7619720.198,1,2.26E-07,1.000345349,0
97,7.506766708,0.024712916,33469.18683,0.9972139,0.049668178,1.003493309,0.000485978
98,8.180151791,0.010817095,52470.40202,0.99595058,0.0546651,1.002644658,0.000619521
99,7.190098395,0.024940022,9471.575456,0.991203189,0.106630869,1.004478574,0.00113748
