0,1,2,3,4,5
id,flux_perfect,mu avg.,mu sd,var avg.,var sd.
0,425888.6368164089,0.0006865472532808781,0.9486908316612244,0.04224202409386635,0.008560656569898129
1,281661.45887560566,-0.0005846048588864505,0.9532464146614075,0.040214668959379196,0.008683648891746998
2,730430.729882145,3.797408453465323e-06,0.9526990652084351,0.04274354502558708,0.008172115311026573
3,592757.6976802454,-0.00018487084889784455,0.9537181854248047,0.040985818952322006,0.009082318283617496
4,570234.883753609,-0.000541764369700104,0.9519528150558472,0.04201306402683258,0.007667331490665674
5,758132.8858058145,-0.000399649579776451,0.9512672424316406,0.04496728256344795,0.007667268626391888
6,594873.2300384599,-0.00012650298594962806,0.9532554745674133,0.04137130826711655,0.008576801978051662
7,177881.4940434728,-0.0008047522860579193,0.9508783221244812,0.04322279989719391,0.009170101024210453
8,14360.706689235756,0.0006802836433053017,0.9526762962341309,0.04091401770710945,0.009169323369860649
9,97569.92833384799,-0.00037714047357439995,0.9521801471710205,0.041080739349126816,0.008861900307238102
10,750942.5833027548,-0.0004025168309453875,0.9543408155441284,0.039783183485269547,0.009531526826322079
11,713557.8148422044,-0.0003721009998116642,0.951171875,0.041642747819423676,0.008232679218053818
12,697444.0609557905,0.0002593520621303469,0.9533094167709351,0.04126472398638725,0.008448655717074871
13,616271.2751710537,-0.0005505001172423363,0.9535873532295227,0.040452778339385986,0.008855077438056469
14,746443.3578418248,-8.708657696843147e-05,0.9516189694404602,0.04076223075389862,0.008729802444577217
15,400954.4906145456,-0.0007015029550530016,0.953161895275116,0.04203597083687782,0.007807701360434294
16,469918.7145225881,0.0004907208494842052,0.9526970386505127,0.041718579828739166,0.008402269333600998
17,168436.10646718182,-0.0001614067004993558,0.9530527591705322,0.04138952121138573,0.008292916230857372
18,213354.6132806662,0.00016206750296987593,0.9525114297866821,0.042205531150102615,0.007958866655826569
19,760162.1738431833,-0.0009009031346067786,0.952584445476532,0.04132647439837456,0.008624151349067688
20,619133.5662590727,0.0007973870378918946,0.9508898854255676,0.04308861121535301,0.007857403717935085
21,598946.2561852558,-0.000474804692203179,0.9527533650398254,0.041042130440473557,0.008701978251338005
22,739147.5707577931,-4.9118803872261196e-05,0.9531145691871643,0.0423351414501667,0.007878084667026997
23,493443.476902164,-4.556484054774046e-05,0.9522318840026855,0.04386145621538162,0.006033425685018301
24,144978.15888520874,-0.0007494653109461069,0.9523786902427673,0.041247837245464325,0.00903987605124712
25,720354.2821172377,-0.00029716655262745917,0.9308632612228394,0.008253817446529865,0.007359116803854704
26,272317.61372405785,-0.00017596001271158457,0.953881025314331,0.0404181145131588,0.009015535935759544
27,502869.5041530691,-0.0003899962466675788,0.9526395797729492,0.04267989844083786,0.007378901354968548
28,607768.241577809,0.00013933108130004257,0.9514136910438538,0.042236361652612686,0.007616467773914337
29,340437.44042364124,0.00049768848111853,0.9535375237464905,0.04220261797308922,0.008336588740348816
30,439956.3554574463,-0.0006925568450242281,0.9538426995277405,0.041230957955121994,0.008749034255743027
31,240326.0266079705,-0.0003605078672990203,0.9518696665763855,0.04142416641116142,0.008508930914103985
32,755385.8491625505,0.00011695463035721332,0.9522212743759155,0.04105285555124283,0.00867516454309225
33,706189.9449088116,0.00018439644190948457,0.9524999260902405,0.04074772447347641,0.008950146846473217
34,675394.8490169884,-0.00037678435910493135,0.9533700942993164,0.040303077548742294,0.00909444596618414
35,640943.1207624748,-1.2554407646803156e-07,0.9519310593605042,0.041880905628204346,0.008494635112583637
36,169199.3320916503,0.0017066766740754247,0.9534266591072083,0.04189298674464226,0.008094102144241333
37,523339.9298696902,0.0005097648245282471,0.9551318883895874,0.039835479110479355,0.008718700148165226
38,374893.0980520077,0.00015304208500310779,0.9516544342041016,0.04145064949989319,0.008630193769931793
39,415505.19880539173,-0.0006607149261981249,0.952913224697113,0.04056207463145256,0.009120131842792034
40,160419.12837175562,0.0003000592114403844,0.953549325466156,0.04216548427939415,0.007812857627868652
41,420125.2941780375,-0.00027229185798205435,0.9527730941772461,0.041877876967191696,0.008405385538935661
42,213104.95530410655,-0.0002709785767365247,0.951543927192688,0.04148726910352707,0.008156473748385906
43,723012.2467118466,-0.0005915620713494718,0.9515735507011414,0.04298025369644165,0.009632263332605362
44,747914.9189884807,-0.00011855840421048924,0.9512991905212402,0.044481996446847916,0.008203892037272453
45,310653.6683283763,-0.0001162569533335045,0.9515886306762695,0.04497135430574417,0.0063501144759356976
46,633711.3058547543,-0.00043692984036169946,0.9527176022529602,0.041851237416267395,0.007955390959978104
47,305519.3792505208,-0.00026658171555027366,0.9539250731468201,0.040851473808288574,0.008758622221648693
48,667484.7999446356,-5.18016931891907e-05,0.9524948000907898,0.04284799471497536,0.007452373392879963
49,566961.5570195473,0.0005989273195154965,0.9541869163513184,0.04017363488674164,0.008561639115214348
50,18591.7942068511,-0.0005131508223712444,0.9519230127334595,0.043479714542627335,0.007104186341166496
51,744561.3512185339,0.0003483601612970233,0.9529691934585571,0.04152204096317291,0.00840526819229126
52,452592.3966911199,-0.00035321665927767754,0.9519532322883606,0.04273159056901932,0.007698991801589727
53,766460.6983224074,0.0005606479244306684,0.9539805054664612,0.0414574034512043,0.008391308598220348
54,617356.2367459291,-0.0005114486557431519,0.9522421360015869,0.041381195187568665,0.008271300233900547
55,744386.448043822,-0.0001448176772100851,0.951198160648346,0.04523805156350136,0.004325641319155693
56,785723.2306412078,-4.309162977733649e-05,0.9511877298355103,0.044717393815517426,0.008013568818569183
57,206761.13271660707,-0.0005231770337559283,0.952445924282074,0.04222293198108673,0.007408100180327892
58,726959.7921484951,-0.0003254009352531284,0.951663076877594,0.041634202003479004,0.00849925447255373
59,565078.8106153462,0.0006129322573542595,0.953965425491333,0.039986930787563324,0.009059485979378223
60,751678.8650133371,0.00042309018317610025,0.9526151418685913,0.04075566306710243,0.008963694795966148
61,219263.12336221457,-0.0001570284366607666,0.9531224966049194,0.04095328226685524,0.008615231141448021
62,298656.24982999923,-0.0005730361444875598,0.9512428641319275,0.042308006435632706,0.008279326371848583
63,390052.56299127254,-0.00012189555855002254,0.9530608654022217,0.042870987206697464,0.006776596885174513
64,497533.17166691617,0.0004253577208146453,0.9515501260757446,0.043874941766262054,0.00625447416678071
65,76017.35646436951,-0.0008345490787178278,0.9537874460220337,0.04169826582074165,0.00827413983643055
66,423555.2971987425,-0.0010772921377792954,0.951741635799408,0.04255415499210358,0.007952123880386353
67,140924.2259312188,-0.0004012114368379116,0.9530845284461975,0.04085381701588631,0.009262926876544952
68,612299.1933461025,-0.0009261753875762224,0.9529373049736023,0.04121427610516548,0.00864518340677023
69,724721.2029215271,-3.618498158175498e-05,0.9526588320732117,0.042204875499010086,0.007928790524601936
70,433303.98754732835,-0.0006105701322667301,0.9521600604057312,0.04214678332209587,0.007875718176364899
71,366534.5361120762,-0.0013497730251401663,0.9527552127838135,0.04224409908056259,0.007901422679424286
72,433153.861036646,-0.0004763773176819086,0.9529678225517273,0.039768099784851074,0.009363461285829544
73,765875.1714161813,0.00037265446735545993,0.9519554376602173,0.04276512190699577,0.00770238321274519
74,442363.8072420021,0.0007073669694364071,0.9532877802848816,0.03948155418038368,0.009698926471173763
75,765040.62193639,-0.0001756261772243306,0.9528295397758484,0.04164941981434822,0.008660521358251572
76,305992.4904550307,0.0001133108526119031,0.9521704316139221,0.041016172617673874,0.008843771182000637
77,671231.991270787,-0.00019210258324164897,0.951353132724762,0.04143722355365753,0.009005403146147728
78,703312.1750827867,0.000280150183243677,0.9535472989082336,0.04102659597992897,0.008475509472191334
79,659764.396196469,0.00038890200085006654,0.9523623585700989,0.0426342636346817,0.007316085509955883
80,164689.08708873612,0.0005732071585953236,0.9526833891868591,0.04124456271529198,0.008454930037260056
81,43132.31057734564,0.00017063172708731145,0.950310230255127,0.047226499766111374,0.0037846239283680916
82,713379.2346805269,0.0001628799072932452,0.9530468583106995,0.04245936498045921,0.007394075393676758
83,747038.3601753253,0.00046778598334640265,0.9505892395973206,0.04417964443564415,0.0059067802503705025
84,740852.591965036,-0.00035066463169641793,0.9532893300056458,0.04172763228416443,0.007677169982343912
85,689869.6521601704,-0.0004699562268797308,0.9509130120277405,0.04112246632575989,0.00886451918631792
86,707290.1789015342,-0.000144388570333831,0.9532232880592346,0.04137365520000458,0.007833198644220829
87,481307.30002470734,-0.0003988748649135232,0.9533401727676392,0.04237159714102745,0.007721196860074997
88,718683.4765977564,0.00046822449075989425,0.9514745473861694,0.04375477507710457,0.006965463515371084
89,650352.0754479996,0.0011105291778221726,0.9262099266052246,0.043565329164266586,0.007973672822117805
90,627018.036986262,-0.000685587408952415,0.9531352519989014,0.04082770645618439,0.008694326505064964
91,756222.3890180651,-0.0008848264114931226,0.9534960389137268,0.04042418673634529,0.009088086895644665
