id,ra,dec,nobs,t0,z,lightcurve,params,const,ar.L1,sigma2
0.0,96.14555496810341,-20.344413826724566,816.0,60980.00158187724,0.1,"              mjd filter           flux  ...  survey_idx  obs_idx  is_saturated
0    61020.332446      i  478970.127380  ...           0    15525         False
1    61024.061773      r  513305.344771  ...           0    17209         False
..            ...    ...            ...  ...         ...      ...           ...
814  64620.327342      r  510809.567834  ...           0  2015523         False
815  64624.268387      g  552757.891821  ...           0  2016994         False

[816 rows x 8 columns]","{'NumpyRandomFunc:integers_2.low': 0, 'NumpyRandomFunc:integers_2.high': 2019461, 'NumpyRandomFunc:integers_2.function_node_result': 1816010, 'ra_dec_sampler.selected_table_index': 1816010, 'ra_dec_sampler.ra': array([96.14555497]), 'ra_dec_sampler.dec': array([-20.34441383]), 'ra_dec_sampler.time': 64299.318976841845, 'AGN_0.ra': array([96.14555497]), 'AGN_0.dec': array([-20.34441383]), 'AGN_0.redshift': 0.1, 'AGN_0.t0': 60980.00158187724, 'AGN_0.distance': 475822267.5121877, 'AGN_0.blackhole_mass': 100000000.0, 'AGN_0.edd_ratio': 0.25, 'AGN_0.inclination_rad': 0.8786042693538526, 'AGN_0.blackhole_mass_gram': 1.988409870698051e+41, 'AGN_0.critical_accretion_rate': 1.4000000000000002e+26, 'AGN_0.blackhole_accretion_rate': 3.5000000000000004e+25, 'AGN_0.bolometric_luminosity': 3.1500000000000004e+45, 'AGN_0.mag_i': -23.745776384474, 'AGN_0.sf_inf_4000aa': 0.20796889612175742, 'AGN_0.tau_4000aa': 269.0901659644939, 'AGN_0.agn_seed': 4279618621, 'RedshiftDistFunc:redshift_to_distance_3.redshift': 0.1, 'RedshiftDistFunc:redshift_to_distance_3.function_node_result': 475822267.5121877, 'NumpyRandomFunc:uniform_4.low': 0, 'NumpyRandomFunc:uniform_4.high': 1.5707963267948966, 'NumpyRandomFunc:uniform_4.function_node_result': 0.8786042693538526, 'FunctionNode:<lambda>_5.m_sun': 100000000.0, 'FunctionNode:<lambda>_5.function_node_result': 1.988409870698051e+41, 'FunctionNode:compute_critical_accretion_rate_6.blackhole_mass': 1.988409870698051e+41, 'FunctionNode:compute_critical_accretion_rate_6.function_node_result': 1.4000000000000002e+26, 'FunctionNode:compute_blackhole_accretion_rate_7.accretion_rate': 1.4000000000000002e+26, 'FunctionNode:compute_blackhole_accretion_rate_7.edd_ratio': 0.25, 'FunctionNode:compute_blackhole_accretion_rate_7.function_node_result': 3.5000000000000004e+25, 'FunctionNode:compute_bolometric_luminosity_8.edd_ratio': 0.25, 'FunctionNode:compute_bolometric_luminosity_8.blackhole_mass': 1.988409870698051e+41, 'FunctionNode:compute_bolometric_luminosity_8.function_node_result': 3.1500000000000004e+45, 'FunctionNode:compute_mag_i_9.bolometric_luminosity': 3.1500000000000004e+45, 'FunctionNode:compute_mag_i_9.function_node_result': -23.745776384474, 'FunctionNode:compute_sf_inf_4000aa_10.mag_i': -23.745776384474, 'FunctionNode:compute_sf_inf_4000aa_10.blackhole_mass': 1.988409870698051e+41, 'FunctionNode:compute_sf_inf_4000aa_10.function_node_result': 0.20796889612175742, 'FunctionNode:compute_tau_4000aa_11.mag_i': -23.745776384474, 'FunctionNode:compute_tau_4000aa_11.blackhole_mass': 1.988409870698051e+41, 'FunctionNode:compute_tau_4000aa_11.function_node_result': 269.0901659644939, 'NumpyRandomFunc:integers_12.low': 0, 'NumpyRandomFunc:integers_12.high': 4294967295, 'NumpyRandomFunc:integers_12.function_node_result': 4279618621}",,,
,,,,,,,,93044.40524328753,0.22926799463803,6484380.611341949
,,,,,,,,702162.2952183778,0.2799141756160831,382877306.66678625
,,,,,,,,504332.6217808544,0.1859704448085095,192441278.2996769
,,,,,,,,282277.37388326845,0.2159435118413016,60988510.782026835
,,,,,,,,333827.5805614562,0.34001608323964766,84436009.77195978
,,,,,,,,83906.5427823786,0.18254775195730694,5500293.628398552
,,,,,,,,257701.1562409298,0.2221481579913105,51300546.40741488
,,,,,,,,809181.8056258252,0.25569044640171,559129828.8904282
,,,,,,,,277561.45569508435,0.25682779337343414,59424780.080614895
,,,,,,,,789058.7740079943,0.24831859057827915,456259460.9766311
,,,,,,,,783791.4136431321,0.303879121076612,495361208.43521464
,,,,,,,,795754.4417586203,0.21772592102524208,500893310.48352873
,,,,,,,,533779.9770518558,0.38324916273322934,229248200.93594065
,,,,,,,,536400.0392419334,0.19850150804182062,227943097.09354946
,,,,,,,,333700.351963422,0.1936866529207198,86414883.77325279
,,,,,,,,101047.56838923761,0.1999386858738663,7392044.053834573
,,,,,,,,475849.49991346133,0.2795608339583063,179262393.12128237
,,,,,,,,644400.0592657991,0.19396180678174002,324070014.465826
,,,,,,,,470971.73770414427,0.17306845367158924,184543706.4923646
,,,,,,,,438516.127857929,0.18158238811554808,151659716.4474658
,,,,,,,,421053.7990798232,0.2733024327726489,135336978.17435488
,,,,,,,,810859.4953094231,0.25313702847782527,475851113.8080935
,,,,,,,,239410.48532631676,0.25195549544161383,43415540.88113454
,,,,,,,,571088.847619085,0.1942984168416338,253247699.38530952
,,,,,,,,812770.7022520779,0.3349949842968344,518965584.9432958
,,,,,,,,408572.787003722,0.22624284508048145,130233710.29766744
,,,,,,,,353174.7584210981,0.3126571253863773,99397222.52262369
,,,,,,,,2518.7008511209765,0.25606401962885267,4605.901244722736
,,,,,,,,226494.8247311286,0.23592697247932443,38117824.949968815
,,,,,,,,785990.1307778861,0.17725909095195064,446457635.7817675
,,,,,,,,50905.51024273769,0.2588881438755448,2087707.7617654775
,,,,,,,,304855.6640040813,0.29904918163382993,70054392.21982472
,,,,,,,,86289.34975924197,0.32487956693246156,6028495.999433587
,,,,,,,,788553.0639438552,0.25782313376326893,501345447.07982886
,,,,,,,,798006.4490486698,0.18196748555019165,463299010.2182571
,,,,,,,,388582.4140018003,0.17936675730615498,115778896.62146884
,,,,,,,,260383.93123386952,0.28478541807569707,58703456.49824515
,,,,,,,,731317.6642334515,0.2652841513118769,402521213.83106077
,,,,,,,,811576.2404975328,0.2490037729936703,533195851.7384785
,,,,,,,,805932.239381859,0.17465854864573518,506235331.72540325
,,,,,,,,586455.4828877902,0.18169976432410168,254631983.98116606
,,,,,,,,815254.6938254422,0.20913839479084442,497652942.037348
,,,,,,,,354984.78390265064,0.31226890924849443,101110605.1435301
,,,,,,,,462714.7013106224,0.22729456196023468,176318671.4649042
,,,,,,,,731970.6463599158,0.18186261778271462,411258492.5530357
,,,,,,,,106473.05279174242,0.1571039958868506,8634778.835840901
,,,,,,,,802247.7745677632,0.20074668978129623,491082456.00897443
,,,,,,,,611582.5834598418,0.2645017175513457,316040846.56691355
,,,,,,,,187845.85359699719,0.25714833693404526,25830976.27430135
,,,,,,,,720446.8003275078,0.1618402663325461,389671899.0331642
,,,,,,,,809837.932243502,0.2582661313140622,506824059.8612833
,,,,,,,,357251.17567402025,0.20235791470849968,95793731.78900315
,,,,,,,,682356.439796134,0.2506802420894869,363144695.51190704
,,,,,,,,802780.3697595373,0.22186025573050833,519504215.55797076
,,,,,,,,414825.81779420475,0.18619585458962093,127012024.28897743
,,,,,,,,667008.2771568632,0.22923590293760382,349589399.2132766
,,,,,,,,64104.215848611704,0.25938636227971906,3306748.8757342515
,,,,,,,,734977.5915087477,0.2460328803202616,440798474.4938382
,,,,,,,,170407.22000355358,0.27124227566974146,22924815.18973548
,,,,,,,,762252.701732187,0.25008930103481153,479412345.88761526
,,,,,,,,667589.4434917,0.3494053931394474,361971914.96103394
,,,,,,,,675469.9100171061,0.2654825057637459,338396134.0127107
,,,,,,,,806652.4819069261,0.16784979132892344,455566206.38342494
,,,,,,,,811528.1487500055,0.212795279546728,506561166.3861928
,,,,,,,,350564.66529472556,0.19646315596406655,90890013.28728373
,,,,,,,,802284.2721386085,0.2604890841596452,486225667.38527244
,,,,,,,,300290.85676297935,0.16109307060558464,67892105.94153447
,,,,,,,,319979.783957644,0.252687583286765,78284549.87298353
,,,,,,,,333570.05894205335,0.2060850779768126,83246444.32304001
,,,,,,,,767409.8206865158,0.2378175683186012,479735508.5774485
,,,,,,,,521810.4342610603,0.27001559487606785,213751295.56142583
,,,,,,,,261418.3932001039,0.33063409038236663,54657978.90201921
,,,,,,,,611548.6154753618,0.18963383984706655,277401002.5632415
,,,,,,,,535443.263091429,0.18710857954492194,231383001.19059536
,,,,,,,,790619.3046991037,0.24482375247329183,472325658.2260893
,,,,,,,,187777.78106931824,0.3764451158568111,29319144.385618206
,,,,,,,,503075.0760386139,0.24258991316782538,186022808.165376
,,,,,,,,183378.7309827993,0.27767165414433886,27501269.185853396
,,,,,,,,679326.8709823433,0.26878640912779295,370350661.4404443
,,,,,,,,772456.3009926083,0.2984975581224403,474188686.3258721
,,,,,,,,702147.6891737627,0.22098234960888785,362297401.9855426
,,,,,,,,39303.57582559054,0.2181460655830312,1192261.1407409667
,,,,,,,,813029.2016551688,0.24907885629247278,554332155.1143434
,,,,,,,,741240.661811987,0.22688686868643637,448569839.02750355
